teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId
100,MIDDLE,Orianna,False,6,13,25,0,SG2_78802327
100,BOTTOM,Kalista,False,3,14,17,3,SG2_78802327
100,JUNGLE,Viego,False,10,13,11,0,SG2_78802327
100,BOTTOM,Lucian,False,14,14,11,0,SG2_78802327
200,MIDDLE,Brand,True,13,8,22,0,SG2_78802327
200,MIDDLE,Viktor,True,3,8,37,0,SG2_78802327
200,MIDDLE,Aurora,True,12,8,32,0,SG2_78802327
200,MIDDLE,Yone,True,15,12,20,0,SG2_78802327
200,MIDDLE,Zed,True,23,8,26,0,SG2_78802327
100,TOP,Gwen,True,4,7,6,17,SG2_79315059
100,JUNGLE,XinZhao,True,9,3,14,19,SG2_79315059
100,MIDDLE,Zed,True,9,3,4,18,SG2_79315059
100,BOTTOM,Smolder,True,9,5,5,24,SG2_79315059
100,UTILITY,Karma,True,4,6,15,56,SG2_79315059
200,TOP,Riven,False,8,6,4,15,SG2_79315059
200,JUNGLE,Vi,False,4,10,5,12,SG2_79315059
200,MIDDLE,Aurora,False,3,5,3,14,SG2_79315059
200,BOTTOM,Kaisa,False,8,5,2,7,SG2_79315059
200,UTILITY,Janna,False,1,9,10,44,SG2_79315059
100,TOP,Yone,True,10,2,5,17,SG2_76884689
100,JUNGLE,Khazix,True,6,1,7,31,SG2_76884689
100,MIDDLE,Katarina,True,9,1,8,8,SG2_76884689
100,BOTTOM,Xayah,True,5,0,8,18,SG2_76884689
100,UTILITY,Lulu,True,3,2,14,63,SG2_76884689
200,TOP,Riven,False,4,7,0,16,SG2_76884689
200,JUNGLE,LeeSin,False,0,12,4,20,SG2_76884689
200,MIDDLE,Shaco,False,1,5,2,11,SG2_76884689
200,BOTTOM,Kaisa,False,1,5,1,11,SG2_76884689
200,UTILITY,Braum,False,0,4,4,70,SG2_76884689
100,TOP,Ambessa,False,6,8,3,17,SG2_79021380
100,JUNGLE,Briar,False,6,6,8,21,SG2_79021380
100,MIDDLE,Malzahar,False,5,7,4,25,SG2_79021380
100,BOTTOM,Vayne,False,2,4,2,14,SG2_79021380
100,UTILITY,Lulu,False,0,8,10,68,SG2_79021380
