teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId,KDA,kill_participation
200,UTILITY,Taric,0,2,8,22,74,SG2_77666557,3.0,24
100,TOP,Ornn,1,4,2,3,12,SG2_79130889,3.5,7
100,JUNGLE,Khazix,1,13,2,4,18,SG2_79130889,8.5,17
100,MIDDLE,Sylas,1,7,4,9,14,SG2_79130889,4.0,16
100,BOTTOM,Sivir,1,7,4,13,18,SG2_79130889,5.0,20
100,UTILITY,Annie,1,4,6,16,80,SG2_79130889,3.3333333333333335,20
200,TOP,Jax,0,2,6,3,11,SG2_79130889,0.8333333333333334,5
200,JUNGLE,Viego,0,6,9,5,21,SG2_79130889,1.2222222222222223,11
200,MIDDLE,Ahri,0,3,6,6,16,SG2_79130889,1.5,9
200,BOTTOM,Senna,0,5,6,7,20,SG2_79130889,2.0,12
200,UTILITY,Poppy,0,2,8,10,54,SG2_79130889,1.5,12
100,BOTTOM,Tristana,1,12,14,34,0,SG2_79328377,3.2857142857142856,46
100,BOTTOM,MissFortune,1,23,10,31,0,SG2_79328377,5.4,54
100,MIDDLE,Anivia,1,9,13,35,0,SG2_79328377,3.3846153846153846,44
100,MIDDLE,Leblanc,1,13,13,29,0,SG2_79328377,3.230769230769231,42
100,UTILITY,Pyke,1,21,10,17,0,SG2_79328377,3.8,38
200,UTILITY,Lux,0,0,13,35,0,SG2_79328377,2.6923076923076925,35
200,TOP,Mordekaiser,0,8,19,28,0,SG2_79328377,1.894736842105263,36
200,TOP,Kennen,0,15,16,21,0,SG2_79328377,2.25,36
200,BOTTOM,Xayah,0,24,14,20,0,SG2_79328377,3.142857142857143,44
200,BOTTOM,Corki,0,12,16,19,0,SG2_79328377,1.9375,31
100,MIDDLE,Zoe,0,10,12,16,0,SG2_78802327,2.1666666666666665,26
100,MIDDLE,Orianna,0,6,13,25,0,SG2_78802327,2.3846153846153846,31
100,BOTTOM,Kalista,0,3,14,17,3,SG2_78802327,1.4285714285714286,20
100,JUNGLE,Viego,0,10,13,11,0,SG2_78802327,1.6153846153846154,21
100,BOTTOM,Lucian,0,14,14,11,0,SG2_78802327,1.7857142857142858,25
200,MIDDLE,Brand,1,13,8,22,0,SG2_78802327,4.375,35
200,MIDDLE,Viktor,1,3,8,37,0,SG2_78802327,5.0,40
200,MIDDLE,Aurora,1,12,8,32,0,SG2_78802327,5.5,44
200,MIDDLE,Yone,1,15,12,20,0,SG2_78802327,2.9166666666666665,35
200,MIDDLE,Zed,1,23,8,26,0,SG2_78802327,6.125,49
100,TOP,Gwen,1,4,7,6,17,SG2_79315059,1.4285714285714286,10
100,JUNGLE,XinZhao,1,9,3,14,19,SG2_79315059,7.666666666666667,23
100,MIDDLE,Zed,1,9,3,4,18,SG2_79315059,4.333333333333333,13
100,BOTTOM,Smolder,1,9,5,5,24,SG2_79315059,2.8,14
100,UTILITY,Karma,1,4,6,15,56,SG2_79315059,3.1666666666666665,19
200,TOP,Riven,0,8,6,4,15,SG2_79315059,2.0,12
200,JUNGLE,Vi,0,4,10,5,12,SG2_79315059,0.9,9
200,MIDDLE,Aurora,0,3,5,3,14,SG2_79315059,1.2,6
200,BOTTOM,Kaisa,0,8,5,2,7,SG2_79315059,2.0,10
200,UTILITY,Janna,0,1,9,10,44,SG2_79315059,1.2222222222222223,11
100,TOP,Yone,1,10,2,5,17,SG2_76884689,7.5,15
100,JUNGLE,Khazix,1,6,1,7,31,SG2_76884689,13.0,13
100,MIDDLE,Katarina,1,9,1,8,8,SG2_76884689,17.0,17
100,BOTTOM,Xayah,1,5,0,8,18,SG2_76884689,13.0,13
100,UTILITY,Lulu,1,3,2,14,63,SG2_76884689,8.5,17
200,TOP,Riven,0,4,7,0,16,SG2_76884689,0.5714285714285714,4
200,JUNGLE,LeeSin,0,0,12,4,20,SG2_76884689,0.3333333333333333,4
200,MIDDLE,Shaco,0,1,5,2,11,SG2_76884689,0.6,3
200,BOTTOM,Kaisa,0,1,5,1,11,SG2_76884689,0.4,2
200,UTILITY,Braum,0,0,4,4,70,SG2_76884689,1.0,4
100,TOP,Ambessa,0,6,8,3,17,SG2_79021380,1.125,9
100,JUNGLE,Briar,0,6,6,8,21,SG2_79021380,2.3333333333333335,14
100,MIDDLE,Malzahar,0,5,7,4,25,SG2_79021380,1.2857142857142858,9
100,BOTTOM,Vayne,0,2,4,2,14,SG2_79021380,1.0,4
100,UTILITY,Lulu,0,0,8,10,68,SG2_79021380,1.25,10
200,TOP,Gragas,1,5,5,4,13,SG2_79021380,1.8,9
200,JUNGLE,Graves,1,2,3,5,31,SG2_79021380,2.3333333333333335,7
200,MIDDLE,Ahri,1,10,7,10,21,SG2_79021380,2.857142857142857,20
200,BOTTOM,Lucian,1,14,2,9,47,SG2_79021380,11.5,23
200,UTILITY,Nami,1,2,2,18,68,SG2_79021380,10.0,20
100,TOP,Sett,0,3,10,4,11,SG2_76950433,0.7,7
100,JUNGLE,Nidalee,0,2,9,4,16,SG2_76950433,0.6666666666666666,6
100,MIDDLE,Viktor,0,3,9,4,12,SG2_76950433,0.7777777777777778,7
100,BOTTOM,Ezreal,0,6,5,1,12,SG2_76950433,1.4,7
100,UTILITY,Nami,0,1,8,9,28,SG2_76950433,1.25,10
200,TOP,Jayce,1,10,4,8,8,SG2_76950433,4.5,18
200,JUNGLE,Elise,1,20,4,4,23,SG2_76950433,6.0,24
200,MIDDLE,Xerath,1,5,3,11,15,SG2_76950433,5.333333333333333,16
200,BOTTOM,Senna,1,5,3,6,6,SG2_76950433,3.6666666666666665,11
200,UTILITY,Thresh,1,1,1,20,47,SG2_76950433,21.0,21
100,TOP,DrMundo,0,3,3,3,25,SG2_77970887,2.0,6
100,JUNGLE,Diana,0,2,6,12,51,SG2_77970887,2.3333333333333335,14
100,MIDDLE,Zoe,0,14,8,4,34,SG2_77970887,2.25,18
100,BOTTOM,Caitlyn,0,12,8,5,22,SG2_77970887,2.125,17
100,UTILITY,Lux,0,1,10,16,93,SG2_77970887,1.7,17
200,TOP,Udyr,1,8,7,2,21,SG2_77970887,1.4285714285714286,10
200,JUNGLE,Shaco,1,6,8,5,30,SG2_77970887,1.375,11
200,MIDDLE,Katarina,1,15,7,7,22,SG2_77970887,3.142857142857143,22
200,BOTTOM,Senna,1,2,5,14,24,SG2_77970887,3.2,16
200,UTILITY,Rakan,1,4,6,19,100,SG2_77970887,3.8333333333333335,23
100,TOP,Renekton,1,2,1,1,3,SG2_78629242,3.0,3
100,JUNGLE,Kayn,1,1,2,0,5,SG2_78629242,0.5,1
100,MIDDLE,Viktor,1,2,0,0,4,SG2_78629242,2.0,2
100,BOTTOM,Caitlyn,1,4,0,1,2,SG2_78629242,5.0,5
100,UTILITY,Milio,1,0,0,5,8,SG2_78629242,5.0,5
200,TOP,Garen,0,2,1,0,3,SG2_78629242,2.0,2
200,JUNGLE,Amumu,0,0,2,2,4,SG2_78629242,1.0,2
200,MIDDLE,Akali,0,0,2,0,2,SG2_78629242,0.0,0
200,BOTTOM,Jinx,0,1,4,0,3,SG2_78629242,0.25,1
200,UTILITY,Lulu,0,0,0,1,6,SG2_78629242,1.0,1
100,TOP,Ornn,0,1,5,0,10,SG2_78985005,0.2,1
100,JUNGLE,Kindred,0,4,6,3,17,SG2_78985005,1.1666666666666667,7
100,MIDDLE,Lulu,0,2,5,1,15,SG2_78985005,0.6,3
100,BOTTOM,MissFortune,0,5,4,2,14,SG2_78985005,1.75,7
100,UTILITY,Janna,0,1,8,3,44,SG2_78985005,0.5,4
200,TOP,Gwen,1,3,1,5,20,SG2_78985005,8.0,8
200,JUNGLE,Viego,1,15,3,2,26,SG2_78985005,5.666666666666667,17
200,MIDDLE,Yone,1,3,3,1,12,SG2_78985005,1.3333333333333333,4
200,BOTTOM,Kaisa,1,6,2,5,24,SG2_78985005,5.5,11
200,UTILITY,Nautilus,1,1,4,11,51,SG2_78985005,3.0,12
100,TOP,Jayce,1,5,4,0,11,SG2_78789993,1.25,5
